number,question,choiceA,choiceB,choiceC,choiceD,correct_answer,explanation
12,Data Cloudコンサルタントが、Salesforce CRMコネクタを使用して設定されたデータストリームの稼働状況を確認しています。データストリームの管理画面で、コンサルタントがデータ取り込みの成功・失敗状況や、処理されたレコード数などを監視するために参照すべき主要なタブまたはセクションは何でしょうか？,データマッピング,項目リスト,設定,処理履歴 (Processing History),D,"A. データマッピング - データマッピングセクションでは、データソースオブジェクト（DSO）の項目とデータモデルオブジェクト（DMO）の項目との対応付けを定義・確認しますが、データ取り込み処理の実行結果や履歴は表示されません。

B. 項目リスト - 項目リストセクションでは、このデータストリームで取り込まれるデータソースの項目とそのデータ型などを確認できますが、処理の成功・失敗やレコード数といった実行履歴に関する情報は含まれません。

C. 設定 - 設定セクションでは、データストリームの名前、説明、接続されているデータソース、取り込みスケジュールなどの基本的な構成情報を確認・編集できますが、個々の実行結果の詳細は表示されません。

D. 処理履歴 (Processing History) - 正解です。処理履歴タブ（またはセクション）には、データストリームが実行された各回のログが表示されます。ここを参照することで、各実行のステータス（成功、失敗、処理中など）、開始時刻、終了時刻、処理されたレコード数、エラーが発生した場合はその詳細などを確認でき、データ取り込みの稼働状況を正確に監視することができます。"
13,Data Cloudは、顧客データを統合し、リアルタイムに近いインサイトを提供することに重点を置いていますが、従来のデータウェアハウス(DWH)とは異なる特徴も持っています。Data Cloudが従来のDWHと比較して持つ主な特徴や利点として、最も適切な説明はどれでしょうか？,構造化データのみを扱うことに特化している点。,主に過去のバッチ処理分析に最適化されている点。,リアルタイムの顧客行動データを取り込み、統合プロファイルを迅速に更新できる点。,データ変換や加工を行わず、生のデータをそのまま格納する点。,C,"A. 構造化データのみを扱うことに特化している点。 - Data Cloudは、CRMのような構造化データに加え、Webサイトやモバイルアプリからのイベントデータなど、半構造化データも効率的に取り込み、活用できるように設計されています。構造化データのみに特化しているわけではありません。

B. 主に過去のバッチ処理分析に最適化されている点。 - 従来のデータウェアハウス(DWH)はバッチ処理による過去データの分析に重点を置くことが多いですが、Data Cloudはバッチ処理に加えて、ストリーミングデータの取り込みやリアルタイムに近いデータ更新・インサイト生成を可能にすることを目指しています。

C. リアルタイムの顧客行動データを取り込み、統合プロファイルを迅速に更新できる点。 - 正解です。Data Cloudは、Webサイトやモバイルアプリからのクリックストリームデータなどの顧客行動データをリアルタイムに近い形で取り込み、それらの情報に基づいて統合プロファイルやセグメントを迅速に更新できる能力を持っています。これは、変化する顧客の状態に素早く対応する上で、従来のバッチ処理中心のDWHに対する大きな利点となります。

D. データ変換や加工を行わず、生のデータをそのまま格納する点。 - Data Cloudはデータレイクハウスのアーキテクチャを採用しており、生のデータを格納する能力も持ちますが、同時にデータモデリング（DSOからDMOへのマッピング）や計算済みインサイト作成などの過程で、データの変換、正規化、集計といった加工処理も行います。生のデータをそのまま格納するだけではありません。"
14,Universal Containersは、Data Cloudで作成したセグメント情報や計算済みインサイトを、Salesforceの標準レポートやApex、フローなどで直接利用したいと考えています。Data CloudのデータをSalesforce Platform上の他の機能から直接クエリできるようにするための主要なメカニズムは何でしょうか？,データ共有（Data Share）,データストリーム,アクティベーション,コネクテッドアプリケーション,A,"A. データ共有（Data Share） - 正解です。データ共有は、Data Cloudで作成されたデータモデルオブジェクト（DMO）や計算済みインサイトオブジェクト（CIO）を、Salesforce Platform上の他の標準機能（レポート、ダッシュボード、フロー、Apexなど）から直接クエリできるようにする機能です。これにより、データをコピーすることなく、Data CloudのインサイトをSalesforceの業務プロセスでシームレスに活用できます。

B. データストリーム - データストリームは、外部データソースからData Cloudへデータをインポートするための仕組みであり、Data CloudからSalesforce Platformの他の機能へデータを共有するものではありません。

C. アクティベーション - アクティベーションは、Data Cloudで作成したセグメントやインサイトを、Marketing Cloud Engagementなどの連携アプリケーションや外部プラットフォームへ送信（プッシュ）するためのプロセスです。Salesforce Platform内で直接データをクエリするための機能ではありません。

D. コネクテッドアプリケーション - コネクテッドアプリケーションは、外部アプリケーションがSalesforce APIを使用してSalesforce組織に安全に接続するためのフレームワークです。Data CloudのデータをPlatform内で共有する機能とは目的が異なります。"
15,Data Cloudでアイデンティティ解決ルールセットを実行した後、その結果がビジネス要件に対してどの程度正確であるかを評価することが重要です。例えば、「異なる個人が誤って同じプロファイルに統合されていないか」や「同じ個人が複数の異なるプロファイルに分割されていないか」を評価するための指標は、総称して何と呼ばれますか？,データ取り込み成功率,セグメント到達率,アイデンティティ解決精度指標 (Identity Resolution Accuracy Metrics),アクティベーションエラー率,C,"A. データ取り込み成功率 - データ取り込み成功率は、データストリームがデータソースからData Cloudへデータを正常に取り込めた割合を示す指標です。アイデンティティ解決プロセス自体の精度を評価するものではありません。

B. セグメント到達率 - セグメント到達率は、アクティベーションを通じて連携されたセグメントメンバーに対して、実際にマーケティングメッセージなどが到達した割合を示す指標であり、アイデンティティ解決の精度を測るものではありません。

C. アイデンティティ解決精度指標 (Identity Resolution Accuracy Metrics) - 正解です。アイデンティティ解決の精度指標は、設定されたマッチルールや調整ルールがどの程度正確に顧客プロファイルを統合・分離できているかを評価するための指標群を指します。これには、過剰な統合（False Positives）や統合漏れ（False Negatives）の発生率などが含まれ、ルールの見直しや改善に役立てられます。

D. アクティベーションエラー率 - アクティベーションエラー率は、Data Cloudから外部システムへデータを送信するアクティベーションプロセス中に発生したエラーの割合を示す指標です。アイデンティティ解決の精度とは直接関係ありません。"
16,Data Cloudには、顧客のプライバシー保護やGDPRなどの規制遵守を支援する機能が含まれています。顧客から自身の個人データの削除要求があった場合、Data Cloudコンサルタントはその要求に対応するために、Data Cloud内のどの機能を主に利用することを推奨すべきでしょうか？,データストリームの停止,アイデンティティ解決の再実行,セグメントの再公開,同意管理フレームワークのデータ削除機能,D,"A. データストリームの停止 - データストリームを停止すると、そのソースからの新しいデータの取り込みが止まりますが、既にData Cloud内に格納されている既存の顧客データが削除されるわけではありません。

B. アイデンティティ解決の再実行 - アイデンティティ解決は、異なるソースのレコードを照合して統合プロファイルを作成・更新するプロセスです。特定の顧客データを削除する機能ではありません。

C. セグメントの再公開 - セグメントの再公開は、セグメントの条件に基づいて最新のメンバーシップを計算し、アクティベーションターゲットで利用可能にするプロセスです。データ削除要求に対応する機能ではありません。

D. 同意管理フレームワークのデータ削除機能 - 正解です。Data Cloudは、顧客の同意やプライバシー設定を管理するためのフレームワークを提供しています。このフレームワークには、顧客からのデータ削除要求（忘れられる権利など）を受け付け、関連する統合プロファイルやソースレコードを特定し、Data Cloud内からデータを削除するプロセスを支援する機能が含まれています。"
17,Data Cloudを導入し、様々な顧客データを統合・分析することによって、企業が得られる主なビジネス上の利点として適切なものを2つ選択してください。（２つ選択）,よりパーソナライズされた顧客体験を提供できるようになる。,顧客インサイトに基づいた効果的なマーケティングセグメントを作成できる。,企業のサプライチェーン管理プロセスを直接的に自動化できる。,会計監査に必要な財務レポートを自動生成できる。,"A,B","A. よりパーソナライズされた顧客体験を提供できるようになる。 - 正解です。Data Cloudによって構築された統合顧客プロファイルは、顧客の属性、行動履歴、好みなどを包括的に理解することを可能にします。この深い理解に基づいて、Webサイト、メール、広告、サービス応対など、あらゆるタッチポイントで顧客一人ひとりに最適化された、よりパーソナルな体験を提供できます。

B. 顧客インサイトに基づいた効果的なマーケティングセグメントを作成できる。 - 正解です。Data Cloudは、単なる属性だけでなく、計算済みインサイト（例：LTVスコア、エンゲージメントレベル）やリアルタイムの行動データも活用して、より精度の高いマーケティングセグメントを作成できます。これにより、キャンペーンのターゲティング精度が向上し、マーケティング投資対効果（ROI）の改善につながります。

C. 企業のサプライチェーン管理プロセスを直接的に自動化できる。 - Data Cloudは顧客データプラットフォーム（CDP）であり、在庫管理、物流、生産計画といったサプライチェーン管理（SCM）の業務プロセスを直接的に自動化する機能は提供していません。

D. 会計監査に必要な財務レポートを自動生成できる。 - Data Cloudは顧客に関するデータの管理・分析に特化しており、企業の会計処理や財務諸表の作成、監査対応といった財務会計領域の機能を提供するものではありません。"
18,Data Cloudのデータストリームを設定する際、データソースからのデータの取り込み方法を決定する必要があります。データソースの全データを毎回洗い替えするのではなく、最後の取り込み以降に変更または追加されたデータのみを取り込む方法を指す用語は何でしょうか？,フルリフレッシュ (Full Refresh),ストリーミング取り込み (Streaming Ingestion),増分更新 (Incremental Refresh),データマッピング (Data Mapping),C,"A. フルリフレッシュ (Full Refresh) - フルリフレッシュは、データストリームの実行時に、データソースから指定された範囲のデータを毎回すべて取得し直し、Data Cloud内の対応するデータを置き換える更新方法です。

B. ストリーミング取り込み (Streaming Ingestion) - ストリーミング取り込みは、Ingestion APIやWeb/Mobile SDKなどを利用して、データが発生するたびにほぼリアルタイムでData Cloudに送信・取り込む方式を指します。バッチ処理における更新方法とは異なります。

C. 増分更新 (Incremental Refresh) - 正解です。増分更新は、データストリームの実行時に、前回の実行以降に変更が加えられたレコードや新しく追加されたレコードのみをデータソースから抽出し、Data Cloudに取り込む更新方法です。これにより、毎回全データを処理するフルリフレッシュに比べて、処理時間とリソース消費を抑えることができます。

D. データマッピング (Data Mapping) - データマッピングは、データソースオブジェクト（DSO）の項目を、Data Cloudの標準またはカスタムのデータモデルオブジェクト（DMO）の項目にどのように対応付けるかを定義するプロセスです。データの更新方法の種類ではありません。"
19,Data Cloudでセグメントを作成した後、新しいデータが継続的に取り込まれ、顧客の状況は変化していきます。「過去30日以内にWebサイトを訪問した顧客」という条件でセグメントを作成した場合、このセグメントのメンバーシップを常に最新の状態に保つためには、どのような仕組みが重要になりますか？,データストリームの頻繁な一時停止,アクティベーションターゲットの追加,アイデンティティ解決ルールの削除,セグメントの定期的なリフレッシュ（再評価）,D,"A. データストリームの頻繁な一時停止 - データストリームを停止すると、最新の顧客データがData Cloudに取り込まれなくなるため、セグメントのメンバーシップは古くなってしまいます。これはセグメントを最新に保つ方法ではありません。

B. アクティベーションターゲットの追加 - アクティベーションターゲットを追加することは、セグメントの結果を利用できるシステムを増やすことにはなりますが、セグメントのメンバーシップ自体を最新の状態に更新するプロセスではありません。

C. アイデンティティ解決ルールの削除 - アイデンティティ解決ルールは顧客プロファイルの統合に不可欠であり、これを削除することは通常推奨されません。セグメントのメンバーシップを最新に保つ仕組みとは関係ありません。

D. セグメントの定期的なリフレッシュ（再評価） - 正解です。セグメントの条件は、顧客の行動や属性の変化によって合致する/しなくなる場合があります。そのため、「セグメントの公開スケジュール」を設定するなどして、定義された条件に基づいて定期的にメンバーシップを再評価（リフレッシュ）し、最新の顧客リストを維持することが重要です。"
20,Data Cloudを導入・運用する上で、データの品質、セキュリティ、コンプライアンス、およびライフサイクル全体にわたって、データの適切な管理と利用を保証するための方針、プロセス、および管理体制の確立が重要です。これらのデータ管理に関する包括的な枠組みや活動は、一般的に何と呼ばれますか？,データガバナンス,データアクティベーション,アイデンティティ解決,セグメンテーション,A,"A. データガバナンス - 正解です。データガバナンスは、組織がデータを戦略的な資産として管理・活用するために定める包括的な方針、プロセス、役割、管理体制、およびテクノロジーを指します。データの品質、セキュリティ、プライバシー、コンプライアンス、ライフサイクル管理などが含まれ、Data Cloudの導入・運用においても非常に重要な概念です。

B. データアクティベーション - データアクティベーションは、Data Cloudで準備された顧客セグメントやインサイトを、マーケティングキャンペーンやパーソナライゼーションなどの具体的なアクションのために外部システムへ連携するプロセスを指します。

C. アイデンティティ解決 - アイデンティティ解決は、複数のデータソースに存在する同一の顧客に関するレコードを特定し、統合された顧客プロファイルを作成する技術的なプロセスです。データガバナンスの一部ではありますが、全体を指すものではありません。

D. セグメンテーション - セグメンテーションは、特定の属性や行動に基づいて、ターゲットとなる顧客グループを作成するプロセスです。データガバナンスの枠組みの中で実行される活動の一つですが、枠組みそのものではありません。"
21,顧客がData CloudからAmazon S3クラウドファイルストレージバケットへのデータ有効化を試みています。コンサルタントはData CloudからS3バケットに接続するために、どの認証タイプを推奨すべきでしょうか？,S3プライベートキー証明書を使用する。,S3暗号化されたユーザー名とパスワードを使用する。,S3で生成されたJWTトークンを使用する。,S3アクセスキーとシークレットキーを使用する。,D,"A. S3プライベートキー証明書を使用する - S3プライベートキー証明書は、Amazon S3の認証方法としては一般的ではありません。S3は主にアクセスキーとシークレットキー、またはIAMロールを使用して認証を行います。
B. S3暗号化されたユーザー名とパスワードを使用する - Amazon S3は、ユーザー名とパスワードによる直接的な認証をサポートしていません。S3へのアクセスは、主にアクセスキーとシークレットキー、またはIAMロールに基づいて行われます。
C. S3で生成されたJWTトークンを使用する - JWT（JSON Web Token）は、API認証などで使用されるトークンですが、Amazon S3の直接的な認証方法としては一般的ではありません。S3へのアクセスは、アクセスキーとシークレットキー、またはIAMロールを通じて行われます。
D. S3アクセスキーとシークレットキーを使用する - 正解です。Amazon S3への接続において、アクセスキーとシークレットキーは最も一般的な認証方法の一つです。Data CloudからS3バケットへのデータ有効化を行う際、この認証タイプを使用することで、安全にS3リソースにアクセスできます。"
22,Northern Trail Outfittersは、Data CloudでMarketing Cloudのデータの一部を使用したいと考えています。どのエンゲージメントチャネルデータがカスタム統合を必要としますか？,SMS,メール,CloudPage,モバイルプッシュ,C,"A. SMS - Marketing CloudのSMSデータは、Data Cloudとの統合が比較的容易です。標準的なコネクタやAPIを使用してデータ連携が可能です。
B. メール - Marketing Cloudのメールエンゲージメントデータ（開封、クリックなど）も、Data Cloudとの統合がサポートされています。標準的なコネクタやAPIを利用してデータを連携できます。
C. CloudPage - 正解です。CloudPageは、Marketing CloudでカスタムのWebページを作成するための機能です。CloudPageのデータは、標準的なコネクタやAPIを通じてData Cloudに直接連携することが難しく、カスタム統合が必要となる場合があります。
D. モバイルプッシュ - Marketing Cloudのモバイルプッシュ通知のデータも、Data Cloudとの統合がサポートされています。標準的なコネクタやAPIを使用してデータを連携できます。"
